"Metrics","Sig","Formula"
"Leptoceridae","1","VAR ~ 1 + VEL + (VEL):GROUP + GROUP + SUB"
"Leptophlebiidae","1","VAR ~ 1 + DEPTH + (DEPTH):GROUP + GROUP + SUB"
"Lestidae","1","VAR ~ 1 + DEPTH + (DEPTH):GROUP + GROUP + SUB"
"Leuctridae","1","VAR ~ 1 + VEL + (VEL):GROUP + GROUP + SUB"
"Libellulidae","1","VAR ~ 1 + VEL + (VEL):GROUP + GROUP + SUB"
"Limnephilidae","1","VAR ~ 1 + DEPTH + (DEPTH):GROUP + GROUP + SUB"
"Limoniidae","1","VAR ~ 1 + VEL + (VEL):GROUP + GROUP + SUB"
"Lumbricidae","1","VAR ~ 1 + VEL + (VEL):GROUP + GROUP + SUB"
"Lumbriculidae","1","VAR ~ 1 + VEL + (VEL):GROUP + GROUP + SUB"
"Lymnaeidae","1","VAR ~ 1 + DEPTH + (DEPTH):GROUP + GROUP + SUB"
"Melanopsidae","1","VAR ~ 1 + VEL + (VEL):GROUP + GROUP + SUB"
"Mesoveliidae","1","VAR ~ 1 + VEL + (VEL):GROUP + GROUP + SUB"
"Muscidae","1","VAR ~ 1 + DEPTH + (DEPTH):GROUP + GROUP + SUB"
"Naididae","1","VAR ~ 1 + VEL + (VEL):GROUP + GROUP + SUB"
"Nemouridae","1","VAR ~ 1 + DEPTH + (DEPTH):GROUP + GROUP + SUB"
"Nepidae","1","VAR ~ 1 + VEL + (VEL):GROUP + GROUP + SUB"
"Neritidae","1","VAR ~ 1 + DEPTH + (DEPTH):GROUP + GROUP + SUB"
"Odontoceridae","1","VAR ~ 1 + DEPTH + (DEPTH):GROUP + GROUP + SUB"
"Oligoneuriidae","1","VAR ~ 1 + DEPTH + (DEPTH):GROUP + GROUP + SUB"
"Pediciidae","1","VAR ~ 1 + VEL + (VEL):GROUP + GROUP + SUB"
"Perlidae","1","VAR ~ 1 + DEPTH + (DEPTH):GROUP + GROUP + SUB"
"Perlodidae","1","VAR ~ 1 + DEPTH + (DEPTH):GROUP + GROUP + SUB"
"Philopotamidae","1","VAR ~ 1 + DEPTH + (DEPTH):GROUP + GROUP + SUB"
"Phryganeidae","1","VAR ~ 1 + VEL + (VEL):GROUP + GROUP + SUB"
"Physidae","1","VAR ~ 1 + VEL + (VEL):GROUP + GROUP + SUB"
"Piscicolidae","1","VAR ~ 1 + VEL + (VEL):GROUP + GROUP + SUB"
"Planariidae","1","VAR ~ 1 + DEPTH + (DEPTH):GROUP + GROUP + SUB"
"Planorbidae","1","VAR ~ 1 + DEPTH + (DEPTH):GROUP + GROUP + SUB"
"Platycnemididae","1","VAR ~ 1 + DEPTH + (DEPTH):GROUP + GROUP + SUB"
"Polycentropodidae","1","VAR ~ 1 + DEPTH + (DEPTH):GROUP + GROUP + SUB"
"Potamanthidae","1","VAR ~ 1 + VEL + (VEL):GROUP + GROUP + SUB"
"Prosopistomatidae","1","VAR ~ 1 + DEPTH + (DEPTH):GROUP + GROUP + SUB"
"Psephenidae","1","VAR ~ 1 + DEPTH + (DEPTH):GROUP + GROUP + SUB"
"Psychodidae","1","VAR ~ 1 + VEL + (VEL):GROUP + GROUP + SUB"
"Psychomyiidae","1","VAR ~ 1 + DEPTH + (DEPTH):GROUP + GROUP + SUB"
"Ptilocolepidae","1","VAR ~ 1 + VEL + (VEL):GROUP + GROUP + SUB"
"Pyralidae","1","VAR ~ 1 + VEL + (VEL):GROUP + GROUP + SUB"
"Rhagionidae","1","VAR ~ 1 + DEPTH + (DEPTH):GROUP + GROUP + SUB"
"Rhyacophilidae","1","VAR ~ 1 + VEL + (VEL):GROUP + GROUP + SUB"
"Sciomyzidae","1","VAR ~ 1 + VEL + (VEL):GROUP + GROUP + SUB"
"Scirtidae","1","VAR ~ 1 + VEL + (VEL):GROUP + GROUP + SUB"
"Sericostomatidae","1","VAR ~ 1 + DEPTH + (DEPTH):GROUP + GROUP + SUB"
"Sialidae","1","VAR ~ 1 + DEPTH + (DEPTH):GROUP + GROUP + SUB"
"Simuliidae","1","VAR ~ 1 + DEPTH + (DEPTH):GROUP + GROUP + SUB"
"Siphlonuridae","1","VAR ~ 1 + DEPTH + (DEPTH):GROUP + GROUP + SUB"
"Sphaeriidae","1","VAR ~ 1 + DEPTH + (DEPTH):GROUP + GROUP + SUB"
"Stratiomyidae","1","VAR ~ 1 + DEPTH + (DEPTH):GROUP + GROUP + SUB"
"Tabanidae","1","VAR ~ 1 + VEL + (VEL):GROUP + GROUP + SUB"
"Taeniopterygidae","1","VAR ~ 1 + VEL + (VEL):GROUP + GROUP + SUB"
"Thaumaleidae","1","VAR ~ 1 + DEPTH + (DEPTH):GROUP + GROUP + SUB"
"Tipulidae","1","VAR ~ 1 + DEPTH + (DEPTH):GROUP + GROUP + SUB"
"Tubificidae","1","VAR ~ 1 + VEL + (VEL):GROUP + GROUP + SUB"
"Valvatidae","1","VAR ~ 1 + DEPTH + (DEPTH):GROUP + GROUP + SUB"
"Veliidae","1","VAR ~ 1 + VEL + (VEL):GROUP + GROUP + SUB"
"Viviparidae","1","VAR ~ 1 + DEPTH + (DEPTH):GROUP + GROUP + SUB"
"RICHNESS","1","VAR ~ 1 + DEPTH + (DEPTH):GROUP + GROUP + SUB"
"EPT","1","VAR ~ 1 + DEPTH + (DEPTH):GROUP + GROUP + SUB"
"EPT_prop","1","VAR ~ 1 + VEL + (VEL):GROUP + GROUP + SUB"
"EPT_abu","1","VAR ~ 1 + VEL + (VEL):GROUP + GROUP + SUB"
"OCH","1","VAR ~ 1 + VEL + (VEL):GROUP + GROUP + SUB"
"OCH_prop","1","VAR ~ 1 + DEPTH + (DEPTH):GROUP + GROUP + SUB"
"OCH_abu","1","VAR ~ 1 + DEPTH + (DEPTH):GROUP + GROUP + SUB"
"EPT_EPTOCH","1","VAR ~ 1 + VEL + (VEL):GROUP + GROUP + SUB"
"ABUNDANCE","1","VAR ~ 1 + VEL + (VEL):GROUP + GROUP + SUB"
"SHANNON","1","VAR ~ 1 + DEPTH + (DEPTH):GROUP + GROUP + SUB"
"ASPT","1","VAR ~ 1 + DEPTH + (DEPTH):GROUP + GROUP + SUB"
"LIFE","1","VAR ~ 1 + VEL + (VEL):GROUP + GROUP + SUB"
"FUN_RICHNESS_ALL","1","VAR ~ 1 + DEPTH + (DEPTH):GROUP + GROUP + SUB"
"FUN_DIVERSITY_ALL","1","VAR ~ 1 + VEL + (VEL):GROUP + GROUP + SUB"
"FUN_RICHNESS_ECO","1","VAR ~ 1 + DEPTH + (DEPTH):GROUP + GROUP + SUB"
"FUN_DIVERSITY_ECO","1","VAR ~ 1 + VEL + (VEL):GROUP + GROUP + SUB"
"FUN_RICHNESS_BIO","1","VAR ~ 1 + DEPTH + (DEPTH):GROUP + GROUP + SUB"
"FUN_DIVERSITY_BIO","1","VAR ~ 1 + DEPTH + (DEPTH):GROUP + GROUP + SUB"
